[NodeNum EdgeNum]
20 91

[node]
1 杭州1市
2  宁波2市
3  绍兴3市 
4 温州4市
5  台州2市
6  湖州4市
7  嘉兴5市
8 金华市
9  舟山市
10 衢州1市
11  丽水市
12  余姚市
13 乐清市
14 临海市
15 温岭市
16 A市
17 S市
18 B市
19 D市
20 T市

[line]
1 19 37
1 12 4.2
1 17 6.9
2 14 17.1
2 4 46.9
2 20 39.5
2 16 39.8
2 5 0.1
2 12 44.6
3 4 30.8
3 8 46.6
3 18 27.1
4 11 36.2
4 17 36.9
4 15 40.4
4 9 32
5 10 42
5 3 28.8
5 6 39.3
5 19 43.6
5 15 29.6
5 1 39.4
5 12 32.8
6 12 4.7
6 20 14.9
7 17 27.7
7 5 13.5
7 15 43
7 6 15.8
7 13 3.7
8 2 39
8 10 27.3
8 9 47
9 18 26
9 20 47.6
9 3 23.7
9 7 9.7
9 15 36.2
10 12 30.5
10 13 4.5
10 3 25.7
10 15 10.9
10 5 24
11 18 27.2
11 3 35.2
11 8 6.2
11 13 45.9
11 4 19.7
11 17 17.9
11 15 8.9
12 6 39.4
12 2 1.2
12 18 7.5
13 6 44.9
13 15 36.7
13 19 30.3
14 8 24.5
14 17 33.8
14 2 9.2
15 7 28.8
15 12 24.7
16 14 14.3
16 8 48.4
16 19 3
16 13 20.7
16 4 41.1
16 1 14
17 4 32.4
17 18 28.7
17 2 23.3
17 12 46.5
17 9 11.2
18 9 36.4
18 2 36
18 11 0.1
18 5 30.7
18 19 26.9
19 1 8.8
19 11 6.2
19 9 11.1
19 17 45.7
19 2 4.7
19 12 8.7
19 20 23.7
20 14 5.2
20 12 30.1
20 16 26.9
20 17 26.4
20 4 32.2
20 13 23
20 19 22.6
