status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,new_reaction_count,postive_reactions,negative_reactions,interesting
1,3,3949,529,512,262,432,92,3,1,1,0,97,527,2,1.4631379962192816
2,1,3917,150,0,0,150,0,0,0,0,0,0,150,0,0.0
3,3,3921,227,236,57,204,21,1,1,0,0,23,226,1,1.2907488986784141
4,1,3920,111,0,0,111,0,0,0,0,0,0,111,0,0.0
5,1,3832,213,0,0,204,9,0,0,0,0,9,213,0,0.0
6,1,3831,217,6,0,211,5,1,0,0,0,6,217,0,0.027649769585253458
7,3,3826,503,614,72,418,70,10,2,0,3,85,498,5,1.363817097415507
8,3,3818,295,453,53,260,32,1,1,0,1,35,293,2,1.7152542372881356
9,1,3810,203,1,0,198,5,0,0,0,0,5,203,0,0.0049261083743842365
10,1,3747,170,9,1,167,3,0,0,0,0,3,170,0,0.058823529411764705
11,1,3718,210,2,3,202,7,1,0,0,0,8,210,0,0.023809523809523808
12,1,4292,222,4,0,213,5,4,0,0,0,9,222,0,0.018018018018018018
13,1,4262,313,4,2,305,6,2,0,0,0,8,313,0,0.019169329073482427
14,1,4259,209,4,0,200,8,1,0,0,0,9,209,0,0.019138755980861243
15,1,4191,346,11,0,335,10,1,0,0,0,11,346,0,0.031791907514450865
16,3,3700,332,100,30,303,23,1,5,0,0,29,327,5,0.39156626506024095
17,3,3533,135,256,79,117,18,0,0,0,0,18,135,0,2.4814814814814814
18,3,3438,150,173,47,132,16,1,0,1,0,18,149,1,1.4666666666666666
19,3,3364,221,166,36,192,28,0,1,0,0,29,220,1,0.9140271493212669
20,1,3333,152,2,0,149,3,0,0,0,0,3,152,0,0.013157894736842105
21,1,3323,234,15,1,221,12,1,0,0,0,13,234,0,0.06837606837606838
22,1,3319,227,7,1,217,7,2,1,0,0,10,226,1,0.03524229074889868
23,1,3284,98,0,0,96,0,2,0,0,0,2,98,0,0.0
24,3,3280,18,0,0,18,0,0,0,0,0,0,18,0,0.0
25,1,3278,102,0,0,100,0,2,0,0,0,2,102,0,0.0
26,3,3245,37,0,1,37,0,0,0,0,0,0,37,0,0.02702702702702703
27,3,3219,75,36,14,70,5,0,0,0,0,5,75,0,0.6666666666666666
28,3,3217,90,78,9,85,5,0,0,0,0,5,90,0,0.9666666666666667
29,1,3105,145,9,0,138,7,0,0,0,0,7,145,0,0.06206896551724138
30,3,3681,253,300,31,229,22,1,1,0,0,24,252,1,1.308300395256917
31,1,3678,85,0,0,81,2,2,0,0,0,4,85,0,0.0
32,3,3623,45,14,0,40,5,0,0,0,0,5,45,0,0.3111111111111111
33,1,3632,92,0,0,85,4,2,1,0,0,7,91,1,0.0
34,1,3631,125,1,0,116,8,1,0,0,0,9,125,0,0.008
35,1,3591,119,4,0,116,3,0,0,0,0,3,119,0,0.03361344537815126
36,1,3584,293,8,0,281,11,1,0,0,0,12,293,0,0.027303754266211604
37,3,3269,128,137,26,110,16,2,0,0,0,18,128,0,1.2734375
38,1,2920,84,15,13,78,5,1,0,0,0,6,84,0,0.3333333333333333
39,1,2915,66,11,6,61,4,1,0,0,0,5,66,0,0.25757575757575757
40,3,2878,171,292,28,150,19,1,1,0,0,21,170,1,1.871345029239766
41,3,2845,90,72,23,79,10,1,0,0,0,11,90,0,1.0555555555555556
42,3,2767,139,39,9,121,16,1,1,0,0,18,138,1,0.34532374100719426
43,3,2717,236,181,21,201,33,0,1,0,1,35,234,2,0.8559322033898306
44,3,2711,225,210,34,193,30,0,2,0,0,32,223,2,1.0844444444444445
45,1,2694,275,12,0,260,11,4,0,0,0,15,275,0,0.04363636363636364
46,3,2697,372,456,37,334,31,1,1,1,4,38,366,6,1.325268817204301
47,1,2663,445,9,0,419,23,3,0,0,0,26,445,0,0.020224719101123594
48,3,2642,128,60,11,114,13,0,0,0,1,14,127,1,0.5546875
49,3,2609,186,235,46,163,19,0,3,0,1,23,182,4,1.510752688172043
