,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,encode_type,cluster,varX,varY,varZ
0,video,529,512,262,432,92,3,1,1,0,3,0,1.3363306598069247,-0.17755446011817147,-0.6325630555182792
1,photo,150,0,0,150,0,0,0,0,0,1,2,-0.41977504964111506,0.10217549589349717,0.2946661823089116
2,video,227,236,57,204,21,1,1,0,0,3,0,0.23019591511292417,-0.2223035918348603,-0.4645063692072737
3,photo,111,0,0,111,0,0,0,0,0,1,2,-0.4436155599424296,0.01969687586677365,0.3159138685686123
4,photo,213,0,0,204,9,0,0,0,0,1,2,-0.32905945650102997,0.20084185888459505,0.29657090058453234
5,photo,217,6,0,211,5,1,0,0,0,1,2,-0.3310878298466774,0.22647596261785252,0.34553156457882866
6,video,503,614,72,418,70,10,2,0,3,3,0,1.5008019837748525,-0.25361335408841634,0.7254319998106884
7,video,295,453,53,260,32,1,1,0,1,3,0,0.5448443358517839,-0.2716813592102127,-0.33937101736706105
8,photo,203,1,0,198,5,0,0,0,0,1,2,-0.3581677205489055,0.1948663238803539,0.28555439091569096
9,photo,170,9,1,167,3,0,0,0,0,1,2,-0.38651150197971484,0.130145439000288,0.2925308280659853
10,photo,210,2,3,202,7,1,0,0,0,1,2,-0.31925748368119844,0.20149531099649737,0.3587143360795529
11,photo,222,4,0,213,5,4,0,0,0,1,2,-0.27597598108571736,0.24630078140181091,0.551797991244499
12,photo,313,4,2,305,6,2,0,0,0,1,2,-0.24597029262337206,0.4268250830115881,0.3673128875219657
13,photo,209,4,0,200,8,1,0,0,0,1,2,-0.3189897875439,0.19841624139675917,0.3626927198193848
14,photo,346,11,0,335,10,1,0,0,0,1,2,-0.2221962108198724,0.4791308637712587,0.29356065046081503
15,video,332,100,30,303,23,1,5,0,0,3,0,0.39305815742484285,-0.04615908535561209,-0.19669658438488885
16,video,135,256,79,117,18,0,0,0,0,3,0,0.14152309198704494,-0.4126356997939642,-0.5707210820705461
17,video,150,173,47,132,16,1,0,1,0,3,0,0.135757106762873,-0.37147302898122736,-0.8045860310920118
18,video,221,166,36,192,28,0,1,0,0,3,0,0.19784859723513562,-0.22866516382243932,-0.47610288466239353
19,photo,152,2,0,149,3,0,0,0,0,1,2,-0.4007381963751974,0.09450064471679837,0.3049258377255646
20,photo,234,15,1,221,12,1,0,0,0,1,2,-0.2764563900035497,0.23273769387040524,0.3611319383059404
21,photo,227,7,1,217,7,2,1,0,0,1,2,-0.2531089535779331,0.21824269720098718,0.48373084682191897
22,photo,98,0,0,96,0,2,0,0,0,1,2,-0.416583528120722,-0.0018834043443040221,0.46183896494557153
23,video,18,0,0,18,0,0,0,0,0,3,0,-0.22773353643449346,-0.4562657044416719,-0.48286450178971707
24,photo,102,0,0,100,0,2,0,0,0,1,2,-0.4141383475769974,0.006575941299461776,0.45965971507278397
25,video,37,0,1,37,0,0,0,0,0,3,0,-0.21434080120978,-0.41716995913347227,-0.4932609174192004
26,video,75,36,14,70,5,0,0,0,0,3,0,-0.1315609682767549,-0.3770021548755166,-0.5075022778195237
27,video,90,78,9,85,5,0,0,0,0,3,0,-0.12261065360769507,-0.34786556389556567,-0.5307100101635228
28,photo,145,9,0,138,7,0,0,0,0,1,2,-0.38037023043049395,0.0629969726050165,0.322297409070045
29,video,253,300,31,229,22,1,1,0,0,3,0,0.21887246801320884,-0.15513486685401073,-0.4967307259318701
30,photo,85,0,0,81,2,2,0,0,0,1,2,-0.41292947609306624,-0.037058128997254546,0.47697217231482875
31,video,45,14,0,40,5,0,0,0,0,3,0,-0.1793358371640507,-0.42104197885056854,-0.4825346382208751
32,photo,92,0,0,85,4,2,1,0,0,1,2,-0.35625851206950054,-0.053315180196585654,0.5477929473364884
33,photo,125,1,0,116,8,1,0,0,0,1,2,-0.3709579736649877,0.02134260342643464,0.40954699850433496
34,photo,119,4,0,116,3,0,0,0,0,1,2,-0.42049800605901066,0.02432929612322494,0.32217796160512124
35,photo,293,8,0,281,11,1,0,0,0,1,2,-0.24941380332971433,0.3637762288847637,0.32755106527301026
36,video,128,137,26,110,16,2,0,0,0,3,0,0.04181191758852595,-0.3335653973111442,-0.3904937224260624
37,photo,84,15,13,78,5,1,0,0,0,1,2,-0.3874162394706232,-0.07063504617958026,0.41413680524112517
38,photo,66,11,6,61,4,1,0,0,0,1,2,-0.4174927494127445,-0.09649465635834342,0.4216863333053986
39,video,171,292,28,150,19,1,1,0,0,3,0,0.14435883154099166,-0.31224324795605746,-0.4610903849787809
40,video,90,72,23,79,10,1,0,0,0,3,0,-0.05246399974382666,-0.37817470550488014,-0.4396117693711091
41,video,139,39,9,121,16,1,1,0,0,3,0,0.021376008858478214,-0.29946745303412226,-0.3629517802554076
42,video,236,181,21,201,33,0,1,0,1,3,0,0.38403039532977634,-0.3165796452659561,-0.27235419711962844
43,video,225,210,34,193,30,0,2,0,0,3,0,0.2582138762089801,-0.2574928659703351,-0.4195448413293566
44,photo,275,12,0,260,11,4,0,0,0,1,2,-0.20712295328942754,0.3338145691195523,0.544168115994393
45,video,372,456,37,334,31,1,1,1,4,3,0,1.1262509534672,-0.4815740017799559,-0.1146682978062707
46,photo,445,9,0,419,23,3,0,0,0,1,2,-0.051706276409847055,0.644861975098507,0.43152263230827737
47,video,128,60,11,114,13,0,0,0,1,3,0,0.11844709398828511,-0.4108272493118565,-0.31619033501833604
48,video,186,235,46,163,19,0,3,0,1,3,0,0.40944373122669864,-0.4527674485383134,-0.18904548941494576
49,video,309,444,36,254,42,2,8,3,0,3,0,0.8704001074403802,-0.4625277857781169,-0.9197528964453097
50,photo,77,11,3,75,2,0,0,0,0,1,2,-0.445193208932734,-0.06524746159379331,0.338356419928522
51,video,119,72,28,103,16,0,0,0,0,3,0,-0.008532570501839387,-0.348277032583735,-0.5009055559146781
52,photo,100,21,13,95,5,0,0,0,0,1,2,-0.393886162184388,-0.04089920126761471,0.3338184758919122
53,video,240,255,111,193,44,1,1,0,1,3,0,0.6430797889918735,-0.45929201044014756,-0.19176915695396016
54,video,164,136,48,146,15,2,0,1,0,3,0,0.1501431548695414,-0.3290919234054494,-0.7334187198142139
55,video,202,327,42,171,30,1,0,0,0,3,0,0.21844291837055788,-0.28744107072505237,-0.513631574218246
56,video,211,284,46,186,25,0,0,0,0,3,0,0.17568743813955895,-0.2482962361152705,-0.5926388989437434
57,video,148,114,16,136,10,0,2,0,0,3,0,0.04330833474639721,-0.30564226195107147,-0.4224101134926492
58,video,97,81,16,84,13,0,0,0,0,3,0,-0.05886174428011127,-0.37196476030839615,-0.5037259988027185
59,video,279,292,34,254,20,3,1,1,0,3,0,0.31503949862123265,-0.14008334016336857,-0.695992384549524
60,photo,263,8,0,245,14,4,0,0,0,1,2,-0.19788302133228897,0.29767724928719813,0.5642352086786838
61,video,177,193,34,151,25,1,0,0,0,3,0,0.13226700012094356,-0.28684112954644986,-0.47108997859709334
62,photo,517,32,1,484,26,7,0,0,0,1,2,0.08619286411099776,0.7919563686090525,0.6736552853035458
63,video,289,258,33,256,33,0,0,0,0,3,0,0.2412882671500622,-0.09498378538616879,-0.5929000283714301
64,photo,66,13,0,65,1,0,0,0,0,1,2,-0.4626393529495075,-0.0817930439922346,0.3397322830676253
65,photo,112,6,0,104,8,0,0,0,0,1,2,-0.395361920221713,-0.010060934062649364,0.34539157451830244
66,video,206,259,48,181,22,1,2,0,0,3,0,0.25269571487685716,-0.2885499092618082,-0.3904082661796084
67,video,362,468,86,305,56,0,0,1,0,3,0,0.6101341410022924,-0.1783884334238193,-0.9374352231707662
68,video,184,130,51,161,23,0,0,0,0,3,0,0.12467662413736187,-0.2737511788955107,-0.5302495582913926
69,video,216,251,34,199,16,0,0,0,1,3,0,0.2699741309916849,-0.29768263321215804,-0.4224910381965392
70,video,57,0,0,56,1,0,0,0,0,3,0,-0.19809258173579855,-0.3776280100703109,-0.500086865408047
71,video,272,258,43,226,44,1,1,0,0,3,0,0.3707628582023265,-0.20447040977759615,-0.40380437053308926
72,video,248,247,34,208,33,3,2,0,2,3,0,0.6929526821156511,-0.44629082405413506,0.16795999546926793
73,video,132,89,40,110,20,1,0,0,1,3,0,0.236538003354465,-0.4633316671522812,-0.2326124123136119
74,video,226,341,41,196,30,0,0,0,0,3,0,0.2167369483098778,-0.24122737615588805,-0.6011701748630551
75,video,35,1,0,35,0,0,0,0,0,3,0,-0.2171350542227068,-0.42050435897191984,-0.49248965753453455
76,video,219,316,36,170,46,3,0,0,0,3,0,0.3436810348656256,-0.2984145814166686,-0.31537903558290464
77,video,94,1,1,94,0,0,0,0,0,3,0,-0.1792905135607476,-0.29681515722606183,-0.5246785718918936
78,video,259,368,50,234,25,0,0,0,0,3,0,0.22948516691274282,-0.16716204975405563,-0.6494906903316783
79,video,62,1,0,62,0,0,0,0,0,3,0,-0.2006300855525659,-0.3634037758765003,-0.5071995941758507
80,video,127,76,21,114,13,0,0,0,0,3,0,-0.03266457649685429,-0.31299603289732963,-0.518478547589985
81,video,149,63,15,134,15,0,0,0,0,3,0,-0.020968004276181874,-0.2651532484579162,-0.5174204349940495
82,video,134,171,41,116,18,0,0,0,0,3,0,0.05579342987293012,-0.35725272033528227,-0.5375828559551555
83,video,392,461,47,360,32,0,0,0,0,3,0,0.36525738363619875,0.07273191580123577,-0.7274295259599455
84,video,310,540,41,284,26,0,0,0,0,3,0,0.2859704774290493,-0.08620124474965987,-0.7353411260656012
85,photo,14,3,0,12,2,0,0,0,0,1,2,-0.49069090463011855,-0.19369672785401965,0.3757212919099165
