,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,encode_type,weekdays,hours,popularity,positive,negtive,cluster
0,video,529,512,262,432,92,3,1,1,0,3,6,6,1303,528,1,0
1,photo,150,0,0,150,0,0,0,0,0,1,5,22,150,150,0,3
2,video,227,236,57,204,21,1,1,0,0,3,5,6,520,227,0,0
3,photo,111,0,0,111,0,0,0,0,0,1,5,2,111,111,0,0
4,photo,213,0,0,204,9,0,0,0,0,1,2,3,213,213,0,2
5,photo,217,6,0,211,5,1,0,0,0,1,2,2,223,217,0,2
6,video,503,614,72,418,70,10,2,0,3,3,2,0,1189,500,3,2
7,video,295,453,53,260,32,1,1,0,1,3,1,7,801,294,1,2
8,photo,203,1,0,198,5,0,0,0,0,1,1,3,204,203,0,2
9,photo,170,9,1,167,3,0,0,0,0,1,2,4,180,170,0,2
10,photo,210,2,3,202,7,1,0,0,0,1,1,1,215,210,0,2
11,photo,222,4,0,213,5,4,0,0,0,1,0,2,226,222,0,2
12,photo,313,4,2,305,6,2,0,0,0,1,6,5,319,313,0,0
13,photo,209,4,0,200,8,1,0,0,0,1,6,2,213,209,0,0
14,photo,346,11,0,335,10,1,0,0,0,1,3,9,357,346,0,2
15,video,332,100,30,303,23,1,5,0,0,3,6,5,462,332,0,0
16,video,135,256,79,117,18,0,0,0,0,3,4,8,470,135,0,0
17,video,150,173,47,132,16,1,0,1,0,3,0,8,370,149,1,2
18,video,221,166,36,192,28,0,1,0,0,3,4,7,423,221,0,0
19,photo,152,2,0,149,3,0,0,0,0,1,3,1,154,152,0,2
20,photo,234,15,1,221,12,1,0,0,0,1,2,8,250,234,0,2
21,photo,227,7,1,217,7,2,1,0,0,1,2,7,235,227,0,2
22,photo,98,0,0,96,0,2,0,0,0,1,1,1,98,98,0,2
23,video,18,0,0,18,0,0,0,0,0,3,1,1,18,18,0,2
24,photo,102,0,0,100,0,2,0,0,0,1,1,0,102,102,0,2
25,video,37,0,1,37,0,0,0,0,0,3,0,22,38,37,0,3
26,video,75,36,14,70,5,0,0,0,0,3,5,8,125,75,0,0
27,video,90,78,9,85,5,0,0,0,0,3,5,7,177,90,0,0
28,photo,145,9,0,138,7,0,0,0,0,1,0,5,154,145,0,2
29,video,253,300,31,229,22,1,1,0,0,3,4,7,584,253,0,0
30,photo,85,0,0,81,2,2,0,0,0,1,4,5,85,85,0,0
31,video,45,14,0,40,5,0,0,0,0,3,2,13,59,45,0,2
32,photo,92,0,0,85,4,2,1,0,0,1,2,6,92,92,0,2
33,photo,125,1,0,116,8,1,0,0,0,1,2,4,126,125,0,2
34,photo,119,4,0,116,3,0,0,0,0,1,0,8,123,119,0,2
